book_id, book_link
366, https://www.amazon.ca/HALO-Primordium-Book-Forerunner-Saga/dp/1982111771/
363, https://www.amazon.ca/Wraith-Joe-Hill/dp/1613778988/
367, https://www.amazon.ca/Heart-Darkness-Joseph-Conrad/dp/0486264645/
368, https://www.amazon.ca/Invisible-Man-Grotesque-Romance/dp/0198702671/
369, https://www.amazon.ca/ISLAND-DOCTOR-MOREAU-H-G-Wells/dp/1948886030/
370, https://www.amazon.ca/Time-Machine-H-G-Wells/dp/1470886588/
371, https://www.amazon.ca/War-Worlds-H-G-Wells/dp/0241387167/
372, https://www.amazon.ca/Horus-Heresy-Master-Mankind/dp/1784967114/
374, https://www.amazon.ca/Into-Void-Star-Wars-Legends/dp/0345545052/
375, https://www.amazon.ca/HALO-Fall-Reach-Eric-Nylund/dp/1982111615/
376, https://www.amazon.ca/Halo-First-Strike-Eric-Nylund/dp/0765328348/
377, https://www.amazon.ca/Beyond-Good-Evil-Prelude-Philosophy/dp/0679724656/
378, https://www.amazon.ca/HALO-Ghosts-Onyx-Eric-Nylund/dp/1982111674/
379, https://www.amazon.ca/Halo-Contact-Harvest-Joseph-Staten/dp/0765315696/
404, https://www.amazon.ca/Uriel-Ventris-Chronicles-Graham-McNeill/dp/1784968544/
380, https://www.amazon.ca/HALO-Protocol-Tobias-S-Buckell/dp/1982111712/
381, https://www.amazon.ca/American-Gods-Ilustrado-Neil-Gaiman/dp/8417305637/
390, https://www.amazon.ca/Pathfinder-Trilogy-Ruins-Visitors/dp/1481426982/
391, https://www.amazon.ca/Enchantment-Classic-Fantasy-Modern-Twist/dp/0345416880/
393, https://www.amazon.ca/Iron-Gate-Richard-Herman/dp/0684810700/
394, https://www.amazon.ca/Battle-Tull-Stephen-King/dp/1982109882/
396, https://www.amazon.ca/Ravenor-Omnibus-Dan-Abnett/dp/1784969931/
397, https://www.amazon.ca/Heroes-Space-Marines-Nick-Kyme/dp/1844167313/
399, https://www.amazon.ca/Deathwing-Neil-Jones/dp/1852838388/
406, https://www.amazon.ca/Deptford-Trilogy-Business-Manticore-Wonders/dp/0140147551/
407, https://www.amazon.ca/Manticore-Robertson-Davies/dp/0670453137/
433, https://www.amazon.ca/Red-Prophet-Orson-Scott-Card/dp/0312930437/
434, https://www.amazon.ca/Prentice-Alvin-Orson-Scott-Card/dp/0312931417/
401, https://www.amazon.ca/Draco-Ian-Watson/dp/0743443187/
408, https://www.amazon.ca/WORLD-WONDERS-Robertson-Davies/dp/1417646047/
409, https://www.amazon.ca/Harry-Potter-Deathly-Hallows-Rowling/dp/1408855712/
410, https://www.amazon.ca/Jurassic-Park-Novel-Michael-Crichton/dp/0345538986/
415, https://www.amazon.ca/Eaters-Dead-Michael-Crichton/dp/0525436383/
417, https://www.amazon.ca/Sphere-Michael-Crichton/dp/0061990558/
412, https://www.amazon.ca/Airframe-Novel-Michael-Crichton/dp/0345526775/
413, https://www.amazon.ca/CONGO-Michael-Crichton/dp/0394513924/
416, https://www.amazon.ca/Rising-Sun-Michael-Crichton/dp/1613835027/
435, https://www.amazon.ca/Crystal-City-Tales-Alvin-Maker/dp/0312864833/
419, https://www.amazon.ca/Great-Train-Robbery-Michael-Crichton/dp/0804171289/
421, https://www.amazon.ca/Seventh-Son-Tales-Alvin-Maker/dp/0812533054/
